Concept,ISO_Code,Similarity_ColdWar,Similarity_PostColdWar,Deviation_ColdWar,Deviation_PostColdWar,Deviation_Shift,Bloc
sovereignty,PAN,0.60277253,0.5513096,0.3972274661064148,0.44869041442871094,0.05146294832229614,Global South (G77/Rest of World)
sovereignty,AFG,0.5430233,0.48909456,0.4569767117500305,0.5109054446220398,0.05392873287200928,Global South (G77/Rest of World)
sovereignty,TUR,0.48023185,0.5971908,0.5197681486606598,0.402809202671051,-0.11695894598960876,Global South (G77/Rest of World)
sovereignty,LBY,0.574377,0.6054533,0.42562299966812134,0.3945466876029968,-0.03107631206512451,Global South (G77/Rest of World)
sovereignty,BRA,0.52874106,0.4822372,0.4712589383125305,0.5177628099918365,0.04650387167930603,Global South (G77/Rest of World)
sovereignty,ETH,0.5552521,0.5229636,0.4447479248046875,0.47703641653060913,0.03228849172592163,Global South (G77/Rest of World)
sovereignty,DOM,0.50996447,0.3337962,0.4900355339050293,0.6662037968635559,0.1761682629585266,Global South (G77/Rest of World)
sovereignty,MNG,0.5049995,0.20225301,0.4950004816055298,0.7977469861507416,0.3027465045452118,Global South (G77/Rest of World)
sovereignty,BDI,0.44678476,0.49808282,0.5532152354717255,0.5019171833992004,-0.051298052072525024,Global South (G77/Rest of World)
sovereignty,NER,0.55047286,0.36150306,0.44952714443206787,0.6384969353675842,0.18896979093551636,Global South (G77/Rest of World)
sovereignty,MUS,0.45222408,0.46808222,0.54777592420578,0.5319177806377411,-0.01585814356803894,Global South (G77/Rest of World)
sovereignty,IRL,0.50491154,0.438251,0.49508845806121826,0.5617490112781525,0.0666605532169342,Global North (Western/Allies)
sovereignty,FRA,0.51423985,0.45343646,0.4857601523399353,0.5465635359287262,0.060803383588790894,P5 (Major Powers)
sovereignty,PAK,0.54605913,0.5492013,0.45394086837768555,0.4507986903190613,-0.0031421780586242676,Global South (G77/Rest of World)
sovereignty,MLI,0.5160827,0.43992627,0.4839172959327698,0.560073733329773,0.07615643739700317,Global South (G77/Rest of World)
sovereignty,BEL,0.48669094,0.5551568,0.5133090615272522,0.4448431730270386,-0.06846588850021362,Global North (Western/Allies)
sovereignty,GHA,0.5436554,0.3617208,0.4563446044921875,0.6382791996002197,0.18193459510803223,Global South (G77/Rest of World)
sovereignty,BLR,0.45203125,0.44789684,0.5479687452316284,0.5521031618118286,0.004134416580200195,Global South (G77/Rest of World)
sovereignty,GUY,0.359668,0.42344537,0.6403320133686066,0.5765546262264252,-0.0637773871421814,Global South (G77/Rest of World)
sovereignty,JPN,0.23431727,0.38076937,0.765682727098465,0.6192306280136108,-0.14645209908485413,Global North (Western/Allies)
sovereignty,RWA,0.5123787,0.40114498,0.4876213073730469,0.5988550186157227,0.11123371124267578,Global South (G77/Rest of World)
sovereignty,MWI,0.4693873,0.25019008,0.5306127071380615,0.7498099207878113,0.21919721364974976,Global South (G77/Rest of World)
sovereignty,BHR,0.5863676,0.5987258,0.4136323928833008,0.4012742042541504,-0.01235818862915039,Global South (G77/Rest of World)
sovereignty,ARE,0.5390655,0.59828126,0.46093451976776123,0.40171873569488525,-0.05921578407287598,Global South (G77/Rest of World)
sovereignty,HND,0.5012564,0.47715905,0.49874359369277954,0.5228409469127655,0.024097353219985962,Global South (G77/Rest of World)
sovereignty,GMB,0.49630505,0.4486208,0.5036949515342712,0.5513792037963867,0.04768425226211548,Global South (G77/Rest of World)
sovereignty,BTN,0.4754549,0.38080865,0.5245451033115387,0.6191913485527039,0.09464624524116516,Global South (G77/Rest of World)
sovereignty,SWZ,0.48430312,0.3318894,0.5156968832015991,0.6681106090545654,0.1524137258529663,Global South (G77/Rest of World)
sovereignty,BRB,0.48414418,0.42954993,0.5158558189868927,0.5704500675201416,0.0545942485332489,Global South (G77/Rest of World)
sovereignty,DNK,0.47462243,0.47156614,0.5253775715827942,0.5284338593482971,0.0030562877655029297,Global North (Western/Allies)
sovereignty,CRI,0.4784547,0.508626,0.5215452909469604,0.49137401580810547,-0.03017127513885498,Global South (G77/Rest of World)
